tweet,label,text_len,tweet_clean,clean_len,label_id
"Kecebak, Mau lanjut sengsara, Berhenti tapi sayang.",sadness,51,kecebak mau lanjut sengsara berhenti tapi sayang,48,4
"Wkwk ngeri sampe mimisan gtu :"") tp film jepang memang selalu dibuat ada saat2 terakhir gtu kan wkwk",fear,100,haha ngeri sampai mimisan gtu tapi film jepang memang selalu dibuat ada saat2 terakhir gtu kan haha,99,2
nana mirdad kalo ngaca terpesona sama muka sendiri g ya,surprise,55,nana mirdad kalau ngaca terpesona sama muka sendiri g ya,56,5
"Maaf kalau aku lancang atau aku terlalu peka, aku pernah dengar ko telp pas kita mau pergi ke acara nikahan di kos ko, aku gakk tau ko telp siapa tapi ko bilang ko udah mulai kesal samaku dan semua yang buat ko gakk nyaman lagi",sadness,227,maaf kalau saya lancang atau saya terlalu peka saya pernah dengar ko telp pas kita mau pergi ke acara nikahan di kos ko saya gakk tahu ko telp siapa tapi ko bilang ko sudah mulai kesal samaku dan semua yang buat ko gakk nyaman lagi,231,4
"Aku kok ngeri mbe koe saiki, gek gek seneng lanang",fear,50,saya kok ngeri mbe koe saiki gek gek seneng lanang,50,2
"Juga dari mimpi itu aku sadari bahwa pengendalian emosiku sangat baik. Aku sangat senang, tapi emosiku ada dalam kendaliku. Karena aku tahu masa depannya akan seperti apa jika aku melakukan kesenangan dengan respon yang sama. Maka aku bisa tenang dan mengontrol emosiku",joy,269,juga dari mimpi itu saya sadari bahwa pengendalian emosiku sangat baik saya sangat senang tapi emosiku ada dalam kendaliku karena saya tahu masa depannya akan seperti apa jika saya melakukan kesenangan dengan respon yang sama maka saya bisa tenang dan mengontrol emosiku,270,3
Kamutu eaa.bisa ndak sih kamutu untuk pagi2 ndak membuat kesal? sengit akutu taw!,anger,81,kamutu eaa bisa ndak sih kamutu untuk pagi2 ndak membuat kesal sengit akutu taw,79,0
ibai penat la gini tk leh tido..aku penat gile,disgust,46,ibai penat la gini tk leh tido aku penat gile,45,1
"(padahal aku ngasi tips seperti ini, asli, aku sedang bokek). Untuk akun aku see senangnya berteman dengan 500 akun saja. Lebih pun tdk masalah. Yg penting asik berteman.... Sama-sama keluarkan pendapat dan atau sama-sama benci pembenaran, benci berita hoak dan benci pembodohan.",anger,279,padahal saya ngasi tips seperti ini asli saya sedang bokek untuk akun saya see senangnya berteman dengan 500 akun saja lebih pun tidak masalah yang penting asik berteman sama-sama keluarkan pendapat dan atau sama-sama benci pembenaran benci berita hoak dan benci pembodohan,273,0
"gmn mau cari topik noon, saya gugup duluan -_-",fear,46,bagaimana mau cari topik noon saya gugup duluan -_-,51,2
